A_x,A_y,A_z,G_x,G_y,G_z,State,A_vec,G_vec
0.303466797,-0.930664063,0.070800781,-20.85876465,-28.32794189,-2.166748047,0,0.981448137,35.24564018
0.303466797,-0.930664063,0.070800781,-20.85876465,-28.32794189,-2.166748047,0,0.981448137,35.24564018
0.303466797,-0.930664063,0.070800781,-20.85876465,-28.32794189,-2.166748047,0,0.981448137,35.24564018
0.303466797,-0.930664063,0.070800781,-20.85876465,-28.32794189,-2.166748047,0,0.981448137,35.24564018
0.390136719,-0.833496094,0.157226563,-41.82434082,8.155822754,22.7355957,0,0.933618011,48.29803559
0.390136719,-0.833496094,0.157226563,-41.82434082,8.155822754,22.7355957,0,0.933618011,48.29803559
0.390136719,-0.833496094,0.157226563,-41.82434082,8.155822754,22.7355957,0,0.933618011,48.29803559
0.390136719,-0.833496094,0.157226563,-41.82434082,8.155822754,22.7355957,0,0.933618011,48.29803559
0.109130859,-0.927734375,0.174804688,-1.251220703,-2.212524414,4.241943359,0,0.950345881,4.945189682
0.109130859,-0.927734375,0.174804688,-1.251220703,-2.212524414,4.241943359,0,0.950345881,4.945189682
0.109130859,-0.927734375,0.174804688,-1.251220703,-2.212524414,4.241943359,0,0.950345881,4.945189682
0.109130859,-0.927734375,0.174804688,-1.251220703,-2.212524414,4.241943359,0,0.950345881,4.945189682
0.203369141,-1.073974609,0.140136719,-9.414672852,-16.97540283,-9.635925293,0,1.102006701,21.67144256
0.203369141,-1.073974609,0.140136719,-9.414672852,-16.97540283,-9.635925293,0,1.102006701,21.67144256
0.203369141,-1.073974609,0.140136719,-9.414672852,-16.97540283,-9.635925293,0,1.102006701,21.67144256
0.203369141,-1.073974609,0.140136719,-9.414672852,-16.97540283,-9.635925293,0,1.102006701,21.67144256
0.413085938,-0.958251953,0.214355469,-48.24066162,-2.342224121,26.35192871,0,1.065286377,55.01882945
0.413085938,-0.958251953,0.214355469,-48.24066162,-2.342224121,26.35192871,0,1.065286377,55.01882945
0.413085938,-0.958251953,0.214355469,-48.24066162,-2.342224121,26.35192871,0,1.065286377,55.01882945
0.413085938,-0.958251953,0.214355469,-48.24066162,-2.342224121,26.35192871,0,1.065286377,55.01882945
0.413085938,-0.958251953,0.214355469,-48.24066162,-2.342224121,26.35192871,0,1.065286377,55.01882945
0.148193359,-0.923583984,0.104003906,36.03363037,15.08331299,-2.655029297,0,0.941161761,39.15326332
