A_x,A_y,A_z,G_x,G_y,G_z,,A_vec,G_vec
0.096923828,-0.954101563,0.081787109,-16.66259766,-1.106262207,-4.035949707,0,,
0.096923828,-0.954101563,0.081787109,-16.66259766,-1.106262207,-4.035949707,0,,
0.096923828,-0.954101563,0.081787109,-16.66259766,-1.106262207,-4.035949707,1,,
0.096923828,-0.954101563,0.081787109,-16.66259766,-1.106262207,-4.035949707,0,,
0.179443359,-0.949707031,0.141113281,-44.06738281,-6.896972656,-17.54760742,0,,
0.179443359,-0.949707031,0.141113281,-44.06738281,-6.896972656,-17.54760742,0,,
0.179443359,-0.949707031,0.141113281,-44.06738281,-6.896972656,-17.54760742,0,,
0.179443359,-0.949707031,0.141113281,-44.06738281,-6.896972656,-17.54760742,1,,
0.220947266,-0.818847656,-0.037597656,-93.39904785,-8.766174316,-33.14208984,1,,
0.220947266,-0.818847656,-0.037597656,-93.39904785,-8.766174316,-33.14208984,1,,
0.220947266,-0.818847656,-0.037597656,-93.39904785,-8.766174316,-33.14208984,1,,
0.220947266,-0.818847656,-0.037597656,-93.39904785,-8.766174316,-33.14208984,1,,
0.007568359,1.048583984,-0.794921875,62.18719482,82.02362061,-81.70318604,1,,
0.007568359,1.048583984,-0.794921875,62.18719482,82.02362061,-81.70318604,1,,
0.007568359,1.048583984,-0.794921875,62.18719482,82.02362061,-81.70318604,1,,
0.007568359,1.048583984,-0.794921875,62.18719482,82.02362061,-81.70318604,1,,
0.212890625,0.185546875,-0.893066406,-6.614685059,3.58581543,-3.311157227,1,,
0.212890625,0.185546875,-0.893066406,-6.614685059,3.58581543,-3.311157227,1,,
0.212890625,0.185546875,-0.893066406,-6.614685059,3.58581543,-3.311157227,1,,
0.212890625,0.185546875,-0.893066406,-6.614685059,3.58581543,-3.311157227,1,,
0.295410156,0.056884766,-0.942871094,-9.368896484,-2.052307129,-4.829406738,1,,
0.295410156,0.056884766,-0.942871094,-9.368896484,-2.052307129,-4.829406738,1,,
0.295410156,0.056884766,-0.942871094,-9.368896484,-2.052307129,-4.829406738,1,,
0.295410156,0.056884766,-0.942871094,-9.368896484,-2.052307129,-4.829406738,1,,
0.307861328,0.08984375,-0.924560547,-6.385803223,0.076293945,-4.348754883,0,,
0.307861328,0.08984375,-0.924560547,-6.385803223,0.076293945,-4.348754883,0,,
0.307861328,0.08984375,-0.924560547,-6.385803223,0.076293945,-4.348754883,0,,
0.307861328,0.08984375,-0.924560547,-6.385803223,0.076293945,-4.348754883,0,,
0.259033203,0.025146484,-0.914306641,-5.966186523,0.755310059,-4.257202148,0,,
